Begin Time - msec	End Time - msec	GE-Units	GE-Phrase	GE-Phase	right - GE-Position	right - GE-Hand-shape	right - GE-Orientation	right - GE-Movement	left - GE-Position	left - GE-Hand-shape	left - GE-Orientation	left - GE-Movement	
43285	44631	101	201	preparation								
44631	45605	101	201	stroke	center-center	flat-hand	towards body	straight	center-center	flat-hand	towards center	straight
45605	46196	101	201	retraction								
46196	47482	101	202	preparation								
47482	50132	101	202	stroke	center	combination of fingers	away body	circle	center-center	flat-hand	towards center	straight
50132	50278	101	202	retraction								
50278	50744	101	203	preparation								
50744	51271	101	203	stroke	center-center	flat-hand	towards body	zigzag	center-center	flat-hand	away center	hold
51271	52394	101	204	stroke	center	flat-hand	away body	zigzag	center	flat-hand	away center	hold
52394	53038	101	204	hold								
53038	53518	101	204	retraction								
53518	54284	101	205	preparation								
54284	54753	101	205	stroke	center-center	flat-hand	away body	arced	center-center	flat-hand	away center	hold
54753	55040	101	205	retraction								
55040	55792	101	206	preparation								
55792	58003	101	206	stroke	extreme-periphery	combination of fingers	away center	straight	extreme-periphery	combination of fingers	away center	straight
58003	58322	101	207	preparation								
58322	59925	101	207	stroke	periphery	single-fingers	towards body	straight	periphery	single-fingers	towards body	straight
59925	61026	101	208	stroke	periphery	combination of fingers	away body	straight	center	combination of fingers	away center	hold
61026	61425	101	209	preparation								
61425	62083	101	209	stroke	center-center	combination of fingers	away center	arced	center-center	combination of fingers	towards body	arced
62083	62698	101	210	preparation								
62698	63623	101	210	stroke	center-center	combination of fingers	away center	straight	center-center	combination of fingers	away center	straight
63623	64705	101	211	preparation								
64705	65766	101	211	stroke	center	flat-hand	away body	zigzag	center	flat-hand	towards center	hold
65766	66401	101	211	hold								
66401	67067	101	212	stroke	center	flat-hand	away center	straight	periphery	flat-hand	away center	straight
67067	68193	101	212	retraction								
68193	69230	101	213	stroke	extreme-periphery	combination of fingers	away body	arced	center	flat-hand	away body	arced
69230	69655	101	213	retraction								
69655	69955	101	214	preparation								
69955	70863	101	214	stroke	center	combination of fingers	towards body	spiral	center	combination of fingers	towards body	spiral
70863	71163	101	215	preparation								
71163	72000	101	215	stroke	center-center	combination of fingers	away body	circle	center-center	combination of fingers	away body	circle
72000	73157	101	216	stroke	center-center	combination of fingers	away body	spiral	center-center	combination of fingers	away body	spiral
73157	73608	101	216	retraction								
73608	74399	101	217	preparation								
74399	76198	101	217	stroke	center	flat-hand	away center	zigzag	center	flat-hand	away center	zigzag
76198	76500	101	217	retraction								
76500	76849	101	218	stroke	center	flat-hand	away center	circle	center	flat-hand	away center	circle
79726	83210	102	219									
79726	80988	102	219	preparation								
80988	82104	102	219	stroke	periphery	flat-hand	away body	zigzag	periphery	flat-hand	away center	zigzag
82104	83210	102	219	retraction								
84115	84794	103	220	preparation								
