Begin Time - msec	End Time - msec	GE-Units	GE-Phrase	GE-Phase	right - GE-Position	right - GE-Hand-shape	right - GE-Orientation	right - GE-Movement	left - GE-Position	left - GE-Hand-shape	left - GE-Orientation	left - GE-Movement	
775	1415	101	201	preparation								
1415	1838	101	201	stroke	extreme-periphery	flat-hand	away center	straight				
1838	3090	101	201	retraction								
3090	3689	101	202	preparation								
3689	4649	101	202	stroke	extreme-periphery	combination of fingers	away center	arced	periphery	combination of fingers	away center	straight
4649	5147	101	202	hold								
5147	5793	101	203	preparation								
5793	6814	101	203	stroke					extreme-periphery	combination of fingers	away center	circle
6814	7548	101	203	retraction								
7548	8353	101	204	preparation								
8353	8753	101	204	stroke					extreme-periphery	combination of fingers	away center	straight
8753	9104	101	204	retraction								
9104	10503	101	205	preparation								
10503	10898	101	205	stroke					extreme-periphery	flat-hand	away center	straight
10898	11228	101	205	retraction								
11228	11616	101	206	preparation								
11616	12216	101	206	stroke	extreme-periphery	flat-hand	away center	arced	extreme-periphery	flat-hand	away center	arced
12216	13092	101	206	retraction								
13092	13708	101	207	preparation								
13708	14576	101	207	stroke					extreme-periphery	combination of fingers	away center	straight
14576	14908	101	207	retraction								
14908	15081	101	208	preparation								
15081	15761	101	208	stroke					extreme-periphery	combination of fingers	towards body	straight
15761	16388	101	208	retraction								
16388	17273	101	209	preparation								
17273	18214	101	209	stroke					extreme-periphery	combination of fingers	away center	straight
18214	18881	101	210	preparation								
18881	20041	101	210	stroke					extreme-periphery	combination of fingers	towards center	circle
20041	21626	101	210	hold								
21626	21954	101	210	retraction								
21954	22725	101	211	preparation								
22725	23109	101	211	stroke					extreme-periphery	flat-hand	away center	straight
23109	23414	101	211	hold								
23414	23890	101	212	preparation								
23890	25250	101	212	stroke					extreme-periphery	flat-hand	towards center	straight
25250	26572	101	212	retraction								
26572	27305	101	213	preparation								
27305	28425	101	213	stroke	extreme-periphery	flat-hand	away center	circle	extreme-periphery	flat-hand	away center	circle
28425	28865	101	213	retraction								
28865	29147	101	214	preparation								
29147	29347	101	214	stroke	extreme-periphery	single-fingers	away center	straight	extreme-periphery	single-fingers	away center	straight
29347	29907	101	214	hold								
29907	30267	101	214	retraction								
30267	31027	101	215	preparation								
31027	32067	101	215	stroke	extreme-periphery	flat-hand	away center	zigzag				
32067	32498	101	215	retraction								
32498	33005	101	216	stroke					extreme-periphery	combination of fingers	towards center	circle
33005	33698	101	216	retraction								
33698	33892	101	217	preparation								
33892	35750	101	217	stroke					extreme-periphery	flat-hand	away center	arced
35750	36123	101	218	preparation								
36123	37119	101	218	stroke					extreme-periphery	combination of fingers	away center	zigzag
37119	37515	101	219	stroke					extreme-periphery	combination of fingers	away center	straight
37515	38166	101	219	retraction								
38166	39080	101	220	preparation								
39080	41856	101	220	stroke					extreme-periphery	combination of fingers	away center	circle
41856	42668	101	221	stroke					extreme-periphery	combination of fingers	away center	circle
42668	43989	101	221	retraction								
43989	45035	101	222	preparation								
45035	46490	101	222	stroke	extreme-periphery	combination of fingers	away center	hold	extreme-periphery	combination of fingers	away center	hold
46490	47684	101	222	retraction								
51145	51557	102	223	preparation								
51557	52801	102	223	stroke					extreme-periphery	combination of fingers	away center	straight
